Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
41556237468841,2015-07-15,2015-07-15,2015-07-15,Need increase in memory because the system keeps crashing (640469),Sumit Patel,2015-07-15,"Text,Highest Priority,Novartis Heart Failure","Username: angelica
Study ID: 640469 

Results, Hazard Ratios
Summary: I have to add in over 90 HRs and the system keeps crashing and erasing my work. I pressed “save finalize and complete” just to retain the information I currently have in the system. Needs to get finalized today, thanks!
",First Priority,
40734766484432,2015-07-08,2015-07-21,2015-07-21,"for # events, have unitlabel default to NA",Sumit Patel,,"Text,Table,Medium Priority,Group/Results tab,Ready to push live/training",,First Priority,
41366578096027,2015-07-14,2015-07-14,2015-07-14,Validation issue: Treatment popup for dosage.,Soheb Rapati,,"Text,Group pop-up,Completed,Highest Priority,Novartis Heart Failure","Username: angelica
Study ID: 640469

I am getting several different validation issues with the treatment popup. The dosage value (fixed) is giving an error, as well as the dosage (#). I have attached a screenshot of the error and the group popup. I have both single numbers and ranges in the fixed dosage box, but they both give errors.
",First Priority,
40710415832276,2015-07-08,2015-07-22,2015-07-22,Allow subgroups to show without having to log out and back in,Sumit Patel,,"Bugs,High Priority,Text,Group pop-up,Group/Results tab,IBM/Watson,Ready to push live/training","Username: Rachel
Study ID: 889190

Eliminate logging out and back in - this is a huge time waster... (Once characteristics or results are added to the template, we must log out and back in for them to show in the subgroup field drop downs)

(both in group popup and within outcome rows)",First Priority,
40730916180765,2015-07-08,2015-07-28,2015-07-28,Subgroups stop being visible after correctly selecting for several arms & causes validation error.,Soheb Rapati,,"Bugs,Text,Group pop-up,Completed,IBM/Watson","Username: Rachel
Study ID: 889190

After the subgroups fields have been correctly selected for several arms, the subgroup fields stop being visible when the subgroup pop-up is closed (even though all fields are correctly entered and saved). It not only doesn’t visibly show as entered, but it causes a validation error. The work around is to log out and then back in, but this is time consuming. ",First Priority,
40624882647498,2015-07-07,2015-07-10,2015-07-10,PDFs don't load on staging site (same PDF loads fine on live site),Soheb Rapati,,"Bugs,High Priority,Text,Table,Completed","example study - 379183
both table & text assignments",First Priority,
39807180101036,2015-06-30,2015-07-08,2015-07-08,Groups misaligned when adding a new arm,Sumit Patel,,"Bugs,Text,IBM/Watson","Username: Rachel/Katrina
Study ID: 6383

After initial extraction, QCer went back into study to add 2 new arm (for subgroups). When added, the alignment of the group columns and the pvalue column switched and result cells do not appear for the new groups. Closing out, clearing cache, and re-opening does not resolve the issue. Screenshot attached.",First Priority,
39566731883555,2015-06-29,2015-07-13,2015-07-13,"Add ""No. of Tables"" button to table QC main page (before going into an individual table)",Jignesh Patel,,"High Priority,Table,QC,Completed,NCCMH CBT for Psychosis","User: luyao
Study ID: 272482, Table 3

Extraction analyst only marked the study has having 3 tables, so even though the analyst completed 4, only 3 show in QC. QC cannot change the number of tables when they open up the study.  Told the QC for now to send another table back, have the analyst change the # of tables in the study, and then re-submit.
",First Priority,
39661171772451,2015-06-29,2015-07-10,2015-07-10,"Add ""No. of Tables"" button on main table QC page (see QC screenshot - no button available as there is in the Extraction screenshot)",,,,,,"Add ""No. of Tables"" button to table QC main page (before going into an individual table)"
39661171772453,2015-06-29,,2015-06-29,"if extraction completes more than the number of tables initially set, number should be confirmed and updated in Extraction",,,,,,"Add ""No. of Tables"" button to table QC main page (before going into an individual table)"
39661171772455,2015-06-29,,2015-06-29,QC should have all extracted tables should come through to QC.,,,,,,"Add ""No. of Tables"" button to table QC main page (before going into an individual table)"
39661171772457,2015-06-29,,2015-06-29,"if analyst missed a table, need to update the ""No of Tables"" and send the entire study (to extract the last table) back to the analyst.",,,,,,"Add ""No. of Tables"" button to table QC main page (before going into an individual table)"
39622141248541,2015-06-29,2015-07-13,2015-07-13,"Remove autofill for ""protocol"" and ""fixed""",Jignesh Patel,,"High Priority,Text,Table,Group pop-up,Completed,Abbvie Alzheimer's","User: luyao
Study ID: 682291 (example, but affects all)

Summary: When an analyst does not fill out the dosage fields in group popup, it autofills as “Protocol, (blank), Fixed” when it comes into QC. This causes a validation error as the pre-selected “fixed” option requires the dosage number to be filled out. Since 90% of the time dosages will be left blank in tables, please remove either the autofill or the validation error since we’re just going back and undoing the computer’s work anyways.
",First Priority,
39220058616256,2015-06-25,2015-07-10,2015-07-10,"Text cutoff when "">"" ""<"" not recognized (in subgroups, this causes iterations un-identifiable)",Sumit Patel,,"Text,Table,Completed,Highest Priority,Group/Results tab,Janssen Diabetes,AHA/ACC Hypertension","user: emily
Study ID: 730483

Result [Age] with two iterations (see screenshot: < 60 years and >= 60 years). The iterations use the drop down menus in the qualifier pop up. I saved and closed out and reopened the study. The Subgroup Name dropdown menu doesn't recognize the two iterations; it only lists Age-N/A.

Username: augusta
Study ID: 356857

Summary: Full text of footnote is not displaying on front end study summary. Text stops after ‘<’ symbol. Footnote is extracted correctly on back end.
",First Priority,
39209930888432,2015-06-25,2015-07-10,2015-07-10,Rater field edits,Sumit Patel,,"Text,Medium Priority,Group/Results tab",,First Priority,
39209930888434,2015-06-25,2015-07-10,2015-07-10,"undo defaulting this field to ""researcher"" (no default) - in screenshot, the top iteration is defaulted to ""researcher"" and the bottom iteration is after i clear out the selection",,,,,,Rater field edits
39209930888436,2015-06-25,2015-07-10,2015-07-10,allow this field to be blank (currently get an error if don't select anything) ,,,,,,Rater field edits
39373501882384,2015-06-26,2015-07-10,2015-07-10,"add ""Independent Review Committee"" to Rater dropdown",,,,,,Rater field edits
42957407366336,2015-07-28,2015-07-29,2015-07-29,Save/Close and Save/Finalize function does not work in 2.0 study.,Soheb Rapati,,"Bugs,Text,Completed,Highest Priority,Reed Hepatitis C","Username: Tin
Study ID: 528561

Unable to Save/Close or Save/Finalize. Other save functions work (Save/continue and Close/No-Save).",First Priority,
42812114143485,2015-07-27,2015-07-29,2015-07-29,Need ability to delete information from Schedule/Route/Provider fields,Soheb Rapati,,"Bugs,High Priority,Text,Group pop-up,Completed,Reed Hepatitis C","User: luyao
Study ID: 468976 (issue is not study specific)
Location: Group popup
Project: Elsevier Hep C

Summary: When Schedule, Route and Provider boxes in the intervention section cannot be saved with blanks. If they were filled before, the study will always load with the old information and there is no way to delete them.

Steps to recreate problem:
1) Open any group popup. Remove information in schedule, route, or provider boxes and leave it blank.
2) Save/close study.
3) Reenter the study from job queue
4) Open the group popup, and the boxes are again filled with information before they’re deleted.
",First Priority,
42930352106899,2015-07-28,2015-07-29,2015-07-29,Data cannot be deleted in study level fields,Soheb Rapati,,"High Priority,Text,Group pop-up,Completed,Reed Hepatitis C","User: luyao
Study ID: 386879 (issue is for all studies)
Location: Text
Project: Elsevier Hep C

Summary: Similar to the group popup, several boxes in the study level page cannot be emptied. If they used to be filled with NR and I change them to blank and save, they’ll load up as NR again when I come back to the study later. A few of these boxes actually load up as “N” or a random choice in the dropdown. As our current protocol is to leave all non-reported boxes blank, there is no way to do that because of this tech issue.",First Priority,
42306495966323,2015-07-22,2015-07-28,2015-07-28,overlapping population text is not placed well and it runs over the rest of the fields,Soheb Rapati,,"Bugs,High Priority,Text,Group pop-up,Completed,Ready to push live/training","user: Rachel
ID: 889190 
visibility issue with the overlapping populations - Since multiple overlapping populations are selecting the text fields overrun the subgroup fields and I can no longer see or click on them",First Priority,
41038464724335,2015-07-10,2015-07-22,2015-07-22,"if switch from SD to SE (or reverse), value is removed from data cell, but still in popup. keep value in data cell",Sumit Patel,,"Bugs,Text,Medium Priority,Group/Results tab,Ready to push live/training","1 - initial extraction selected mean/SD
2 - changed from mean/SD to mean/SE and value for SD disappeared (1.5)
3 - value (1.5) was still in popup
4 - after clicking save, value (1.5) reappears in data cell

please make it so that you don't have to resave - keep 1.5 on the data cell. ",First Priority,
41261180740385,2015-07-13,2015-07-21,2015-07-21,"if click out of field type popup after making a change, the change is not saved",Sumit Patel,,"Bugs,Text,Medium Priority,Ready to push live/training","1. click on field type
2. change standard deviation to standard error
3. click on the mean +/- SD on the form instead of clicking on the save icon - changes aren't saved (force save in this situation)",First Priority,
40883862385849,2015-07-09,2015-07-10,2015-07-10,unitlabel (when initially opened) defaults to showing first entry instead of search box,Sumit Patel,,"Bugs,Text,Medium Priority,Completed,Group/Results tab","you have to scroll up to see the searchbox. and then when you open it the second time, the search box shows right away. ",First Priority,
40080278173013,2015-07-02,2015-07-09,2015-07-09,Study Freezes at Group/Results tab,Jignesh Patel,,"Bugs,Text,Completed","Username: Michael F
Study ID: 272893
Location of Issue: Group/Results extraction
Project: Full Text Training

As soon as I click on the Group/Results tab the site immediately becomes unresponsive and remains unresponsive after 20&#43; minutes. There are 7 groups, 3 p value columns, and 1 AM column. I have already cleared the Chrome cache, restarted
the browser, restarted the computer, and tried the same thing on another computer.",First Priority,
40624882647528,2015-07-07,2015-07-08,2015-07-08,flag popup cut off at bottom of page,Soheb Rapati,,"Bugs,High Priority,Text,Completed","i added 1 more row after ""QC note - setting type"" (as you can see, there's no + button next to it) but i cannot see the next row. can you have the popup move up when a new row is added or add a scroll bar? ",First Priority,
43123085967865,2015-07-29,2015-07-29,2015-07-29,'Notes' window doesn't open,Soheb Rapati,,"Bugs,Text,Completed,Highest Priority,Reed Hepatitis C","Username: kaitlyn
Study ID: 272873

‘Notes’ window at the bottom of the template will not open when clicked.  Relogging and clearing cache have no effect.  Worked earlier in the day with a different study.",First Priority,
43241407917748,2015-07-30,2015-07-30,2015-07-30,Save/Close and Save/Finalize function does not work in 2.0 study.,Soheb Rapati,,"Text,Completed,Highest Priority,Reed Hepatitis C","Username: Tin
Study ID: 558032

Unable to Save/Close or Save/Finalize. Other save functions
work (Save/continue and Close/No-Save). Validation function does not work. This issue is similar to the one previously reported for 528561 under the same Subject line, which has been resolved.",First Priority,
44397508456379,2015-08-05,2015-08-10,2015-08-10,Restore data from 4 studies from before 7/30/15,Sumit Patel,,"Bugs,Text,Highest Priority,Elsevier Alzheimer’s","Username: augusta
Study IDs: 30065, 286531, 600526, 600539

These 4 studies all had text data before the entire dataset was reimported on 7/30/15. Study Level fields and Group Popups are still filled out, but there are no results. I don’t have screenshots of the front- or backend before the data was reimported, but I have notes of fixes that need to be made on the backend, so there were definitely results in the template at one point.",First Priority,
43434656971136,2015-07-31,2015-08-05,2015-08-05,Getting a validation error for a field NOT on the extraction form. ,Soheb Rapati,,"Bugs,Table,Group pop-up,Completed,Highest Priority,Elsevier COPD,Ready to push live/training","Username: augusta
Study ID: 286539, 690328

User: luyao
Study ID: 817100

User: LaurenB
IDs: 629774, 722572

(occurring on ALL studies marked surgery/device)

When trying to QC Finalize a table, the following validation error is produced: ‘Group Popup: Group: Participants - Please select Unit in dosage.‘ There is no dosage field in the group popup, since the study type is not Therapy – Drug.",First Priority,
43444348063726,2015-07-31,2015-08-04,2015-08-04,iteration doesn't appear in subgroup dropdown,Sumit Patel,,"Bugs,Highest Priority,Group/Results tab","User: Russell
Ref ID: 576595 

""IL28B-CT"" does not appear on the subgroup drop down despite the fact that it was recorded as a result.",First Priority,
43425015756027,2015-07-31,2015-08-04,2015-08-04,Validation error for duplicate iterations even though subgroups differentiate iterations,Sumit Patel,,"Text,Highest Priority,Reed Hepatitis C","User: Russell
Ref ID: 576595 

Iterations for SVR are not the same because the subgroup names are all different.  
",First Priority,
43427649452805,2015-07-31,2015-08-03,2015-08-03,2nd Subgroup is not being recognized as unique,Sumit Patel,,"Text,Highest Priority,Group/Results tab,Reed Hepatitis C","Username: Bobby
Study ID: 719562

There are multiple double subgroup iterations in this template and each is unique based upon the second subgroup. The system is not recognizing the second subgroup and is causing a validation error that reads ""Iteration should not be duplicate.""
",First Priority,
43415758003786,2015-07-31,2015-08-04,2015-08-04,"dosage related validation issue is unwarranted (whole numbers were used without any decimals, as required)",Soheb Rapati,,"High Priority,Text,Group pop-up,Completed,Reed Hepatitis C","Username: ourania
Study ID: 495923

I entered the dosage for intervention fields of group pop-ups according to the proper format (i.e. only used whole numbers), but got validation issues saying that the dosage field value can only have whole numbers or decimal and cannot have multiple decimals.",First Priority,
43304770821235,2015-07-30,2015-07-31,2015-07-31,Save/Close and Save/Finalize function not working,Soheb Rapati,,"Text,Completed,Highest Priority,Reed Hepatitis C","Username: Tin
Study ID: 387038

Unable to Save/Close or Save/Finalize. Other save functions work (Save/continue and Close/No-Save). Validation function does not work. This issue is similar to the one previously reported for 528561 and 558032 under the same Subject line, which has been resolved.",First Priority,
43304044787337,2015-07-30,2015-07-31,2015-07-31,Study Phase dropdown for interventions in group pop-ups don't save,Soheb Rapati,,"Text,Group pop-up,Completed,Reed Hepatitis C","Username: ourania
Study ID: 495923

After selecting a study phase from the dropdown for each intervention within the group pop-ups, I saved and closed the study, but when I re-opened the study, the study phase dropdown was no longer selected/saved.",First Priority,
43262493456094,2015-07-30,2015-07-30,2015-07-30,Data cannot be deleted from subgroup field in group popup,Soheb Rapati,,"Text,Group pop-up,Completed,Highest Priority,Reed Hepatitis C","User: luyao
Study ID: 558034

To reproduce:
1) Open any group with subgroup filled in. Open the subgroup popout.
2) Click the green “clear” button. Text inside the dropdown “this is a subgroup of” disappears.
3) Click the save button. The “subgroup of” text on the group popup does not change. Reopening the subgroup popup it shows up empty.
4) Reload study. All subgroup information will come back.",First Priority,
43257632375653,2015-07-30,2015-07-30,2015-07-30,Misaligned Cells,Sumit Patel,,"Text,Highest Priority,Group/Results tab,Reed Hepatitis C","Username: Michael F
Study ID: 586549

In the Group/Results section of full text extraction the rows do not properly align with their corresponding iteration. Additionally, the symbols for minimizing and maximizing root results are not showing up (although the function still works if you click where they should be).",First Priority,
43135361233096,2015-07-29,2015-07-30,2015-07-30,'Save/Finalize' does not function ,Soheb Rapati,,"Text,Completed,Highest Priority,Reed Hepatitis C","Username: kaitlyn
Study ID: 419182

‘Save and Close’ and ‘Save, Finalize, and Close’ have no effect when pressed.  ‘Save and Continue’ and ‘Close and Don’t Save’ function as normal.  Clearing cache and relogging have no effect.",First Priority,
43127864539024,2015-07-29,2015-07-31,2015-07-31,Group/Results page will not load at appropriate size and is not expandable,Sumit Patel,,"Bugs,Text,Highest Priority,Group/Results tab,Reed Hepatitis C","Username: carlando
Study ID: 419236

I am unable to bring up the results page upon my first time going to the group/results tab, as well as unable to view the notes page, error report, validations, or save/close page. Returning to the Study level tab, and then back to the group/results
tab, the result window comes up but is cut off right below the population/group headings and the window is unsizable.

1) Open study and click on group/results tab
2) Click on anyone of the buttons on the bottom
3) Press ""esc"" key
4) Click on Study Level tab
5) Return to group/results tab
6) Resize the divider",First Priority,
44594555061225,2015-08-06,2015-08-07,2015-08-07,"""Fixed"" dosage on non-drug study type",Soheb Rapati,,"Text,Table,Completed,Highest Priority,Elsevier Alzheimer’s","User: luyao
Study ID: 600532, Table 1

Similar to before, this study has a Counseling study type and validation errors are coming up complaining about a dosage entered as a “Fixed”. With Counseling study type, there is no fixed dosage field so there should not be an error.

Please make sure ALL studies that do NOT have ""fixed"" auto-filled in. I thought we changed that a few weeks ago, so please make sure that user can deselect ""fixed"" if a visible field. If not showing, it cannot be filled in.",First Priority,
42609073825016,2015-07-24,2015-08-07,2015-08-07,Add + button back to location & flag popups (also the ability to TAB through to add a new row),Sumit Patel,,"Bugs,Text,Medium Priority,Study Level tab,Group pop-up,Group/Results tab,Ready to push live/training",somehow the + button disappeared? please add back.,First Priority,
42306495966290,2015-07-22,2015-07-30,2015-07-30,Cannot have a subgroup of the same iteration,Sumit Patel,,"Text,Medium Priority,Group/Results tab,Ready to push live/training",,First Priority,
